# export 2026-04-14T00:00:00Z from NVR-1; motion index per camera; retention 7 days (older footage overwritten)
timestamp,camera,motion_score
2026-04-07T00:34:00Z,CORR-F,51
2026-04-07T00:36:00Z,CORR-B,7
2026-04-07T00:57:00Z,CORR-D,80
2026-04-07T01:01:00Z,CORR-B,8
2026-04-07T01:15:00Z,CORR-F,16
2026-04-07T01:28:00Z,CORR-C,6
2026-04-07T03:24:00Z,CORR-F,15
2026-04-07T04:11:00Z,CORR-D,9
2026-04-07T04:33:00Z,CORR-B,15
2026-04-07T04:39:00Z,CORR-A,12
2026-04-07T05:13:00Z,CORR-B,8
2026-04-07T06:06:00Z,CORR-F,14
2026-04-07T07:15:00Z,CORR-C,70
2026-04-07T07:22:00Z,CORR-C,81
2026-04-07T07:25:00Z,CORR-A,13
2026-04-07T07:25:00Z,CORR-C,67
2026-04-07T07:28:00Z,CORR-B,78
2026-04-07T07:32:00Z,CORR-C,50
2026-04-07T07:46:00Z,CORR-E,36
2026-04-07T07:57:00Z,CORR-A,88
2026-04-07T08:40:00Z,CORR-E,8
2026-04-07T08:56:00Z,CORR-A,37
2026-04-07T09:05:00Z,CORR-B,64
2026-04-07T09:05:00Z,CORR-C,12
2026-04-07T09:08:00Z,CORR-E,19
2026-04-07T09:14:00Z,CORR-B,16
2026-04-07T09:14:00Z,CORR-C,67
2026-04-07T09:21:00Z,CORR-E,37
2026-04-07T09:41:00Z,CORR-F,9
2026-04-07T09:48:00Z,CORR-E,88
2026-04-07T09:49:00Z,CORR-B,38
2026-04-07T09:51:00Z,CORR-D,39
2026-04-07T09:53:00Z,CORR-A,88
2026-04-07T09:53:00Z,CORR-B,58
2026-04-07T09:55:00Z,CORR-C,35
2026-04-07T09:55:00Z,CORR-E,46
2026-04-07T09:58:00Z,CORR-C,81
2026-04-07T10:00:00Z,CORR-A,60
2026-04-07T10:16:00Z,CORR-E,11
2026-04-07T11:13:00Z,CORR-B,54
2026-04-07T11:19:00Z,CORR-F,6
2026-04-07T11:20:00Z,CORR-B,89
2026-04-07T11:21:00Z,CORR-D,19
2026-04-07T11:24:00Z,CORR-B,80
2026-04-07T11:31:00Z,CORR-B,38
2026-04-07T11:34:00Z,CORR-B,16
2026-04-07T11:52:00Z,CORR-C,19
2026-04-07T12:39:00Z,CORR-C,10
2026-04-07T12:51:00Z,CORR-F,6
2026-04-07T13:07:00Z,CORR-C,7
2026-04-07T13:33:00Z,CORR-B,9
2026-04-07T15:25:00Z,CORR-C,82
2026-04-07T15:29:00Z,CORR-C,39
2026-04-07T15:29:00Z,CORR-D,88
2026-04-07T15:29:00Z,CORR-F,85
2026-04-07T15:34:00Z,CORR-C,88
2026-04-07T15:34:00Z,CORR-E,62
2026-04-07T15:35:00Z,CORR-B,78
2026-04-07T15:35:00Z,CORR-D,60
2026-04-07T15:35:00Z,CORR-F,62
2026-04-07T15:38:00Z,CORR-E,89
2026-04-07T15:41:00Z,CORR-B,75
2026-04-07T15:41:00Z,CORR-C,36
2026-04-07T15:41:00Z,CORR-F,9
2026-04-07T17:44:00Z,CORR-E,14
2026-04-07T17:46:00Z,CORR-F,14
2026-04-07T18:18:00Z,CORR-B,68
2026-04-07T18:19:00Z,CORR-C,73
2026-04-07T18:20:00Z,CORR-D,65
2026-04-07T18:23:00Z,CORR-A,81
2026-04-07T18:26:00Z,CORR-C,69
2026-04-07T19:04:00Z,CORR-F,40
2026-04-07T19:05:00Z,CORR-A,78
2026-04-07T19:05:00Z,CORR-C,47
2026-04-07T19:07:00Z,CORR-E,19
2026-04-07T19:09:00Z,CORR-B,74
2026-04-07T19:10:00Z,CORR-D,87
2026-04-07T19:10:00Z,CORR-E,80
2026-04-07T19:11:00Z,CORR-A,79
2026-04-07T19:11:00Z,CORR-F,75
2026-04-07T19:14:00Z,CORR-B,86
2026-04-07T19:25:00Z,CORR-F,16
2026-04-07T19:47:00Z,CORR-D,14
2026-04-07T19:52:00Z,CORR-B,18
2026-04-07T20:28:00Z,CORR-A,88
2026-04-07T20:31:00Z,CORR-B,14
2026-04-07T20:32:00Z,CORR-D,47
2026-04-07T20:33:00Z,CORR-D,76
2026-04-07T20:34:00Z,CORR-A,57
2026-04-07T20:35:00Z,CORR-F,45
2026-04-07T20:37:00Z,CORR-C,75
2026-04-07T20:39:00Z,CORR-A,71
2026-04-07T20:39:00Z,CORR-B,45
2026-04-07T20:39:00Z,CORR-C,58
2026-04-07T21:41:00Z,CORR-F,7
2026-04-07T23:01:00Z,CORR-D,8
2026-04-07T23:23:00Z,CORR-B,12
2026-04-07T23:23:00Z,CORR-C,77
2026-04-08T00:09:00Z,CORR-A,49
2026-04-08T00:34:00Z,CORR-E,67
2026-04-08T00:39:00Z,CORR-E,54
2026-04-08T00:43:00Z,CORR-E,80
2026-04-08T00:48:00Z,CORR-E,38
2026-04-08T00:52:00Z,CORR-B,5
2026-04-08T00:53:00Z,CORR-E,54
2026-04-08T01:02:00Z,CORR-E,63
2026-04-08T01:06:00Z,CORR-E,76
2026-04-08T01:10:00Z,CORR-E,89
2026-04-08T01:13:00Z,CORR-E,62
2026-04-08T01:18:00Z,CORR-E,86
2026-04-08T02:09:00Z,CORR-B,16
2026-04-08T02:59:00Z,CORR-F,9
2026-04-08T03:22:00Z,CORR-A,17
2026-04-08T03:27:00Z,CORR-F,12
2026-04-08T03:30:00Z,CORR-E,6
2026-04-08T03:48:00Z,CORR-E,5
2026-04-08T04:02:00Z,CORR-E,8
2026-04-08T04:25:00Z,CORR-C,9
2026-04-08T04:29:00Z,CORR-A,7
2026-04-08T05:24:00Z,CORR-F,8
2026-04-08T05:35:00Z,CORR-F,10
2026-04-08T05:49:00Z,CORR-C,19
2026-04-08T05:51:00Z,CORR-F,5
2026-04-08T06:09:00Z,CORR-C,15
2026-04-08T07:02:00Z,CORR-B,19
2026-04-08T07:24:00Z,CORR-B,79
2026-04-08T07:31:00Z,CORR-B,55
2026-04-08T07:36:00Z,CORR-B,52
2026-04-08T08:05:00Z,CORR-F,12
2026-04-08T08:29:00Z,CORR-B,13
2026-04-08T09:23:00Z,CORR-F,13
2026-04-08T09:25:00Z,CORR-A,75
2026-04-08T09:38:00Z,CORR-B,41
2026-04-08T09:50:00Z,CORR-C,49
2026-04-08T09:58:00Z,CORR-E,59
2026-04-08T10:57:00Z,CORR-C,72
2026-04-08T10:59:00Z,CORR-C,54
2026-04-08T11:04:00Z,CORR-C,51
2026-04-08T11:10:00Z,CORR-C,69
2026-04-08T11:15:00Z,CORR-B,69
2026-04-08T11:16:00Z,CORR-C,75
2026-04-08T11:18:00Z,CORR-A,48
2026-04-08T11:19:00Z,CORR-C,76
2026-04-08T11:24:00Z,CORR-C,35
2026-04-08T11:28:00Z,CORR-C,47
2026-04-08T11:32:00Z,CORR-D,15
2026-04-08T11:35:00Z,CORR-C,89
2026-04-08T11:38:00Z,CORR-F,7
2026-04-08T11:41:00Z,CORR-C,86
2026-04-08T11:44:00Z,CORR-A,15
2026-04-08T11:48:00Z,CORR-C,42
2026-04-08T11:53:00Z,CORR-C,84
2026-04-08T12:02:00Z,CORR-C,47
2026-04-08T12:12:00Z,CORR-D,5
2026-04-08T12:19:00Z,CORR-C,45
2026-04-08T12:20:00Z,CORR-E,62
2026-04-08T12:22:00Z,CORR-D,41
2026-04-08T12:23:00Z,CORR-D,78
2026-04-08T12:24:00Z,CORR-A,62
2026-04-08T12:33:00Z,CORR-E,74
2026-04-08T12:34:00Z,CORR-B,51
2026-04-08T12:34:00Z,CORR-F,51
2026-04-08T12:36:00Z,CORR-D,37
2026-04-08T12:40:00Z,CORR-B,52
2026-04-08T12:41:00Z,CORR-F,38
2026-04-08T12:42:00Z,CORR-C,51
2026-04-08T12:44:00Z,CORR-C,71
2026-04-08T12:45:00Z,CORR-E,40
2026-04-08T12:46:00Z,CORR-B,65
2026-04-08T12:46:00Z,CORR-F,5
2026-04-08T12:49:00Z,CORR-E,79
2026-04-08T12:54:00Z,CORR-A,54
2026-04-08T12:57:00Z,CORR-B,70
2026-04-08T12:57:00Z,CORR-E,80
2026-04-08T12:58:00Z,CORR-F,52
2026-04-08T12:59:00Z,CORR-B,57
2026-04-08T13:12:00Z,CORR-C,74
2026-04-08T13:16:00Z,CORR-C,58
2026-04-08T13:18:00Z,CORR-C,36
2026-04-08T13:27:00Z,CORR-C,85
2026-04-08T13:30:00Z,CORR-C,39
2026-04-08T13:31:00Z,CORR-F,81
2026-04-08T13:33:00Z,CORR-F,62
2026-04-08T13:36:00Z,CORR-C,45
2026-04-08T13:39:00Z,CORR-C,46
2026-04-08T13:40:00Z,CORR-F,84
2026-04-08T13:41:00Z,CORR-E,53
2026-04-08T13:44:00Z,CORR-E,10
2026-04-08T14:44:00Z,CORR-A,65
2026-04-08T14:49:00Z,CORR-B,65
2026-04-08T14:51:00Z,CORR-A,52
2026-04-08T14:51:00Z,CORR-D,67
2026-04-08T14:55:00Z,CORR-A,49
2026-04-08T14:56:00Z,CORR-B,69
2026-04-08T14:57:00Z,CORR-F,42
2026-04-08T15:01:00Z,CORR-A,65
2026-04-08T16:02:00Z,CORR-D,7
2026-04-08T18:54:00Z,CORR-E,12
2026-04-08T19:15:00Z,CORR-A,8
2026-04-08T20:02:00Z,CORR-D,8
2026-04-08T20:54:00Z,CORR-B,39
2026-04-08T20:57:00Z,CORR-E,82
2026-04-08T20:58:00Z,CORR-C,36
2026-04-08T21:02:00Z,CORR-F,37
2026-04-08T21:05:00Z,CORR-F,44
2026-04-08T21:32:00Z,CORR-C,16
2026-04-08T21:51:00Z,CORR-D,6
2026-04-08T22:11:00Z,CORR-B,5
2026-04-08T22:51:00Z,CORR-B,11
2026-04-08T23:22:00Z,CORR-B,17
2026-04-08T23:58:00Z,CORR-C,76
2026-04-09T00:06:00Z,CORR-C,17
2026-04-09T00:14:00Z,CORR-E,18
2026-04-09T00:20:00Z,CORR-B,59
2026-04-09T00:23:00Z,CORR-B,9
2026-04-09T01:43:00Z,CORR-D,15
2026-04-09T01:52:00Z,CORR-E,70
2026-04-09T01:57:00Z,CORR-E,63
2026-04-09T02:02:00Z,CORR-E,63
2026-04-09T02:04:00Z,CORR-E,68
2026-04-09T02:08:00Z,CORR-E,63
2026-04-09T02:10:00Z,CORR-B,8
2026-04-09T02:13:00Z,CORR-E,51
2026-04-09T02:20:00Z,CORR-E,58
2026-04-09T02:26:00Z,CORR-E,73
2026-04-09T02:30:00Z,CORR-E,65
2026-04-09T02:33:00Z,CORR-E,73
2026-04-09T03:39:00Z,CORR-D,10
2026-04-09T03:49:00Z,CORR-A,12
2026-04-09T04:51:00Z,CORR-A,12
2026-04-09T05:16:00Z,CORR-D,7
2026-04-09T05:35:00Z,CORR-C,5
2026-04-09T07:08:00Z,CORR-B,65
2026-04-09T07:38:00Z,CORR-F,17
2026-04-09T07:46:00Z,CORR-C,45
2026-04-09T07:46:00Z,CORR-F,68
2026-04-09T07:48:00Z,CORR-A,88
2026-04-09T07:50:00Z,CORR-C,65
2026-04-09T07:51:00Z,CORR-D,35
2026-04-09T07:56:00Z,CORR-D,59
2026-04-09T07:57:00Z,CORR-C,36
2026-04-09T08:00:00Z,CORR-B,72
2026-04-09T08:09:00Z,CORR-C,46
2026-04-09T08:20:00Z,CORR-E,66
2026-04-09T08:31:00Z,CORR-D,6
2026-04-09T08:34:00Z,CORR-D,11
2026-04-09T08:44:00Z,CORR-C,8
2026-04-09T09:07:00Z,CORR-E,11
2026-04-09T09:18:00Z,CORR-C,80
2026-04-09T09:24:00Z,CORR-F,9
2026-04-09T09:25:00Z,CORR-C,37
2026-04-09T09:31:00Z,CORR-C,86
2026-04-09T09:36:00Z,CORR-C,47
2026-04-09T09:48:00Z,CORR-A,60
2026-04-09T09:48:00Z,CORR-F,70
