device_timestamp,zone,handheld,operator,reading_c
2026-03-16T09:33:00Z,E,HH-2,o.ferreira,-23.9
2026-03-16T09:39:00Z,C,HH-2,o.ferreira,-23.3
2026-03-16T09:41:00Z,A,HH-1,s.larsen,-28.5
2026-03-16T09:49:00Z,B,HH-1,s.larsen,-19.8
2026-03-16T09:51:00Z,A,HH-2,o.ferreira,-27.8
2026-03-16T09:59:00Z,C,HH-1,s.larsen,-23.6
2026-03-16T10:11:00Z,E,HH-1,s.larsen,-23.8
2026-03-17T07:49:00Z,A,HH-1,s.larsen,-28.0
2026-03-17T08:00:00Z,B,HH-1,s.larsen,-19.3
2026-03-17T08:13:00Z,C,HH-1,s.larsen,-23.9
2026-03-17T08:23:00Z,E,HH-1,s.larsen,-23.3
2026-03-17T11:59:00Z,A,HH-2,o.ferreira,-27.3
2026-03-17T12:05:00Z,C,HH-2,o.ferreira,-21.9
2026-03-17T12:09:00Z,B,HH-2,o.ferreira,-19.2
2026-03-18T08:27:00Z,E,HH-2,o.ferreira,-23.0
2026-03-18T08:37:00Z,C,HH-2,o.ferreira,-22.4
2026-03-18T08:50:00Z,B,HH-2,o.ferreira,-16.8
2026-03-18T10:02:00Z,A,HH-1,s.larsen,-28.9
2026-03-18T10:12:00Z,B,HH-1,s.larsen,-18.9
2026-03-18T10:21:00Z,C,HH-1,s.larsen,-22.8
2026-03-18T10:27:00Z,E,HH-1,s.larsen,-24.2
2026-03-19T07:32:00Z,A,HH-1,s.larsen,-28.8
2026-03-19T07:40:00Z,B,HH-1,s.larsen,-19.8
2026-03-19T07:44:00Z,C,HH-1,s.larsen,-23.0
2026-03-19T07:50:00Z,E,HH-1,s.larsen,-24.5
2026-03-19T08:59:00Z,E,HH-2,o.ferreira,-22.7
2026-03-19T09:04:00Z,A,HH-2,o.ferreira,-28.0
2026-03-19T09:12:00Z,C,HH-2,o.ferreira,-22.3
2026-03-20T08:03:00Z,B,HH-2,o.ferreira,-18.3
2026-03-20T08:09:00Z,A,HH-2,o.ferreira,-27.8
2026-03-20T08:23:00Z,C,HH-2,o.ferreira,-23.9
2026-03-20T11:53:00Z,A,HH-1,s.larsen,-28.1
2026-03-20T12:00:00Z,B,HH-1,s.larsen,-20.1
2026-03-20T12:10:00Z,C,HH-1,s.larsen,-19.6
2026-03-20T12:14:00Z,E,HH-1,s.larsen,-23.0
2026-03-23T07:34:00Z,B,HH-2,o.ferreira,-19.2
2026-03-23T07:43:00Z,C,HH-2,o.ferreira,-21.6
2026-03-23T07:47:00Z,E,HH-2,o.ferreira,-23.2
