timestamp,panel,kwh_15min,panel_room_temp_c
2026-03-15T00:00:00Z,P1,0.364,18.2
2026-03-15T00:00:00Z,P2,0.390,18.2
2026-03-15T00:00:00Z,P3,1.332,18.2
2026-03-15T00:15:00Z,P1,0.352,18.3
2026-03-15T00:15:00Z,P2,2.433,18.3
2026-03-15T00:15:00Z,P3,2.259,18.3
2026-03-15T00:30:00Z,P1,1.448,18.4
2026-03-15T00:30:00Z,P2,4.523,18.4
2026-03-15T00:30:00Z,P3,1.583,18.4
2026-03-15T00:45:00Z,P1,1.625,18.4
2026-03-15T00:45:00Z,P2,2.542,18.4
2026-03-15T00:45:00Z,P3,0.386,18.4
2026-03-15T01:00:00Z,P1,1.607,17.9
2026-03-15T01:00:00Z,P2,0.637,17.9
2026-03-15T01:00:00Z,P3,0.353,17.9
2026-03-15T01:15:00Z,P1,0.444,18.2
2026-03-15T01:15:00Z,P2,2.410,18.2
2026-03-15T01:15:00Z,P3,2.185,18.2
2026-03-15T01:30:00Z,P1,0.395,18.5
2026-03-15T01:30:00Z,P2,1.190,18.5
2026-03-15T01:30:00Z,P3,2.188,18.5
2026-03-15T01:45:00Z,P1,0.850,18.0
2026-03-15T01:45:00Z,P2,1.725,18.0
2026-03-15T01:45:00Z,P3,0.836,18.0
2026-03-15T02:00:00Z,P1,1.635,18.7
2026-03-15T02:00:00Z,P2,4.394,18.7
2026-03-15T02:00:00Z,P3,0.307,18.7
2026-03-15T02:15:00Z,P1,1.539,18.4
2026-03-15T02:15:00Z,P2,3.461,18.4
2026-03-15T02:15:00Z,P3,0.995,18.4
2026-03-15T02:30:00Z,P1,0.794,17.9
2026-03-15T02:30:00Z,P2,0.334,17.9
2026-03-15T02:30:00Z,P3,2.168,17.9
2026-03-15T02:45:00Z,P1,0.347,18.3
2026-03-15T02:45:00Z,P2,1.128,18.3
2026-03-15T02:45:00Z,P3,1.431,18.3
2026-03-15T03:00:00Z,P1,1.011,18.5
2026-03-15T03:00:00Z,P2,2.401,18.5
2026-03-15T03:00:00Z,P3,0.342,18.5
2026-03-15T03:15:00Z,P1,1.583,18.0
2026-03-15T03:15:00Z,P2,2.340,18.0
2026-03-15T03:15:00Z,P3,0.319,18.0
