# export 2026-07-04T00:00:00Z from NVR-1; motion index per camera; retention 7 days (older footage overwritten)
timestamp,camera,motion_score
2026-06-26T23:59:00Z,CORR-F,5
2026-06-27T01:17:00Z,CORR-F,85
2026-06-27T01:19:00Z,CORR-C,9
2026-06-27T01:50:00Z,CORR-B,12
2026-06-27T02:11:00Z,CORR-B,51
2026-06-27T02:36:00Z,CORR-B,11
2026-06-27T03:47:00Z,CORR-D,18
2026-06-27T05:31:00Z,CORR-A,13
2026-06-27T06:26:00Z,CORR-E,14
2026-06-27T06:51:00Z,CORR-E,19
2026-06-27T07:41:00Z,CORR-B,13
2026-06-27T07:57:00Z,CORR-F,9
2026-06-27T08:01:00Z,CORR-D,10
2026-06-27T09:40:00Z,CORR-A,6
2026-06-27T12:03:00Z,CORR-E,18
2026-06-27T12:04:00Z,CORR-A,15
2026-06-27T13:23:00Z,CORR-C,14
2026-06-27T14:27:00Z,CORR-B,5
2026-06-27T14:56:00Z,CORR-C,12
2026-06-27T15:03:00Z,CORR-C,11
2026-06-27T15:24:00Z,CORR-F,6
2026-06-27T15:48:00Z,CORR-F,13
2026-06-27T16:00:00Z,CORR-F,18
2026-06-27T16:38:00Z,CORR-F,18
2026-06-27T16:51:00Z,CORR-F,18
2026-06-27T17:31:00Z,CORR-D,57
2026-06-27T17:32:00Z,CORR-A,77
2026-06-27T17:32:00Z,CORR-F,67
2026-06-27T17:35:00Z,CORR-B,65
2026-06-27T17:35:00Z,CORR-E,89
2026-06-27T17:37:00Z,CORR-A,41
2026-06-27T17:37:00Z,CORR-F,57
2026-06-27T17:39:00Z,CORR-E,71
2026-06-27T17:40:00Z,CORR-B,71
2026-06-27T17:41:00Z,CORR-B,36
2026-06-27T17:42:00Z,CORR-E,59
2026-06-27T17:43:00Z,CORR-C,39
2026-06-27T18:26:00Z,CORR-E,12
2026-06-27T18:37:00Z,CORR-A,15
2026-06-27T18:37:00Z,CORR-E,5
2026-06-27T18:45:00Z,CORR-C,13
2026-06-27T19:13:00Z,CORR-B,19
2026-06-27T19:57:00Z,CORR-A,59
2026-06-27T19:59:00Z,CORR-C,40
2026-06-27T20:03:00Z,CORR-D,82
2026-06-27T20:05:00Z,CORR-A,39
2026-06-27T20:05:00Z,CORR-B,83
2026-06-27T20:05:00Z,CORR-C,62
2026-06-27T20:07:00Z,CORR-B,54
2026-06-27T20:09:00Z,CORR-D,51
2026-06-27T20:33:00Z,CORR-F,9
2026-06-27T21:13:00Z,CORR-D,77
2026-06-27T21:14:00Z,CORR-C,57
2026-06-27T21:15:00Z,CORR-A,39
2026-06-27T21:15:00Z,CORR-B,55
2026-06-27T21:16:00Z,CORR-B,63
2026-06-27T21:16:00Z,CORR-C,50
2026-06-27T21:18:00Z,CORR-E,7
2026-06-27T21:19:00Z,CORR-D,53
2026-06-27T21:23:00Z,CORR-A,61
2026-06-27T21:24:00Z,CORR-C,39
2026-06-27T22:45:00Z,CORR-A,19
2026-06-27T22:59:00Z,CORR-C,16
2026-06-27T23:10:00Z,CORR-D,11
2026-06-27T23:50:00Z,CORR-A,8
2026-06-27T23:55:00Z,CORR-A,18
2026-06-28T00:20:00Z,CORR-C,17
2026-06-28T00:22:00Z,CORR-D,13
2026-06-28T00:41:00Z,CORR-E,79
2026-06-28T00:50:00Z,CORR-E,40
2026-06-28T00:53:00Z,CORR-E,55
2026-06-28T00:56:00Z,CORR-E,89
2026-06-28T01:01:00Z,CORR-E,74
2026-06-28T01:09:00Z,CORR-E,83
2026-06-28T02:05:00Z,CORR-B,9
2026-06-28T02:18:00Z,CORR-B,43
2026-06-28T02:41:00Z,CORR-E,84
2026-06-28T02:52:00Z,CORR-E,19
2026-06-28T03:39:00Z,CORR-B,18
2026-06-28T06:46:00Z,CORR-E,5
2026-06-28T07:55:00Z,CORR-B,16
2026-06-28T08:27:00Z,CORR-D,15
2026-06-28T09:37:00Z,CORR-B,77
2026-06-28T09:41:00Z,CORR-B,76
2026-06-28T09:47:00Z,CORR-B,77
2026-06-28T09:52:00Z,CORR-B,47
2026-06-28T09:59:00Z,CORR-B,65
2026-06-28T10:03:00Z,CORR-B,73
2026-06-28T10:08:00Z,CORR-B,49
2026-06-28T10:12:00Z,CORR-E,10
2026-06-28T10:15:00Z,CORR-B,80
2026-06-28T10:18:00Z,CORR-B,89
2026-06-28T12:00:00Z,CORR-F,9
2026-06-28T12:35:00Z,CORR-C,14
2026-06-28T12:57:00Z,CORR-F,14
2026-06-28T13:10:00Z,CORR-B,6
2026-06-28T14:11:00Z,CORR-E,12
2026-06-28T14:13:00Z,CORR-F,15
2026-06-28T14:45:00Z,CORR-A,17
2026-06-28T15:16:00Z,CORR-B,14
2026-06-28T16:39:00Z,CORR-E,14
2026-06-28T17:17:00Z,CORR-E,9
2026-06-28T18:16:00Z,CORR-A,6
2026-06-28T20:21:00Z,CORR-C,41
2026-06-28T20:24:00Z,CORR-B,81
2026-06-28T20:24:00Z,CORR-F,80
2026-06-28T20:25:00Z,CORR-D,39
2026-06-28T20:28:00Z,CORR-B,56
2026-06-28T20:28:00Z,CORR-C,47
2026-06-28T20:29:00Z,CORR-F,59
2026-06-28T20:31:00Z,CORR-B,44
2026-06-28T20:32:00Z,CORR-C,88
2026-06-28T20:34:00Z,CORR-F,46
2026-06-28T20:39:00Z,CORR-B,15
2026-06-28T20:42:00Z,CORR-D,8
2026-06-28T20:51:00Z,CORR-D,15
