device_timestamp,zone,handheld,operator,reading_c
2026-06-04T07:56:00Z,A,HH-2,p.dubois,2.2
2026-06-04T08:01:00Z,A,HH-1,p.novak,1.6
2026-06-04T08:09:00Z,C,HH-2,p.dubois,-19.2
2026-06-04T08:12:00Z,C,HH-1,p.novak,-20.0
2026-06-04T08:17:00Z,D,HH-2,p.dubois,-26.0
2026-06-04T08:23:00Z,D,HH-1,p.novak,-26.6
2026-06-04T08:29:00Z,E,HH-1,p.novak,-19.7
2026-06-05T10:17:00Z,A,HH-1,p.novak,3.1
2026-06-05T10:29:00Z,C,HH-1,p.novak,-19.6
2026-06-05T10:35:00Z,D,HH-1,p.novak,-23.7
2026-06-05T10:49:00Z,E,HH-1,p.novak,-20.5
2026-06-05T11:28:00Z,E,HH-2,p.dubois,-20.0
2026-06-05T11:37:00Z,D,HH-2,p.dubois,-25.0
2026-06-05T11:47:00Z,A,HH-2,p.dubois,2.8
2026-06-08T08:51:00Z,A,HH-1,p.novak,6.2
2026-06-08T09:00:00Z,C,HH-1,p.novak,-20.7
2026-06-08T09:03:00Z,C,HH-2,p.dubois,-19.6
2026-06-08T09:06:00Z,D,HH-1,p.novak,-27.1
2026-06-08T09:12:00Z,E,HH-1,p.novak,-18.7
2026-06-08T09:16:00Z,E,HH-2,p.dubois,-17.6
2026-06-08T09:25:00Z,A,HH-2,p.dubois,7.9
2026-06-09T11:39:00Z,C,HH-2,p.dubois,-19.6
2026-06-09T11:48:00Z,A,HH-2,p.dubois,2.3
2026-06-09T11:50:00Z,A,HH-1,p.novak,1.8
2026-06-09T11:55:00Z,E,HH-2,p.dubois,-19.5
2026-06-09T12:01:00Z,C,HH-1,p.novak,-21.0
2026-06-09T12:06:00Z,D,HH-1,p.novak,-27.8
2026-06-09T12:13:00Z,E,HH-1,p.novak,-20.1
2026-06-10T08:03:00Z,A,HH-1,p.novak,2.7
2026-06-10T08:08:00Z,A,HH-2,p.dubois,3.6
2026-06-10T08:16:00Z,C,HH-1,p.novak,-19.9
2026-06-10T08:21:00Z,D,HH-1,p.novak,-27.7
2026-06-10T08:22:00Z,C,HH-2,p.dubois,-19.0
2026-06-10T08:27:00Z,E,HH-2,p.dubois,-19.1
2026-06-10T08:30:00Z,E,HH-1,p.novak,-19.8
2026-06-11T07:13:00Z,A,HH-1,p.novak,6.0
2026-06-11T07:25:00Z,C,HH-1,p.novak,-19.7
2026-06-11T07:37:00Z,D,HH-1,p.novak,-26.1
2026-06-11T07:43:00Z,E,HH-1,p.novak,-20.8
2026-06-11T11:45:00Z,A,HH-2,p.dubois,2.9
2026-06-11T11:49:00Z,E,HH-2,p.dubois,-18.8
2026-06-11T12:02:00Z,C,HH-2,p.dubois,-18.7
2026-06-12T07:39:00Z,E,HH-2,p.dubois,-17.1
2026-06-12T07:45:00Z,A,HH-2,p.dubois,3.8
2026-06-12T07:56:00Z,D,HH-2,p.dubois,-25.0
2026-06-12T09:55:00Z,A,HH-1,p.novak,6.4
2026-06-12T09:59:00Z,C,HH-1,p.novak,-19.2
2026-06-12T10:12:00Z,D,HH-1,p.novak,-27.9
2026-06-12T10:20:00Z,E,HH-1,p.novak,-19.7
2026-06-15T08:17:00Z,A,HH-1,p.novak,4.1
2026-06-15T08:31:00Z,C,HH-1,p.novak,-20.5
2026-06-15T08:42:00Z,D,HH-1,p.novak,-26.4
2026-06-15T08:56:00Z,E,HH-1,p.novak,-16.3
2026-06-15T10:19:00Z,D,HH-2,p.dubois,-18.6
2026-06-15T10:32:00Z,A,HH-2,p.dubois,4.3
2026-06-15T10:44:00Z,C,HH-2,p.dubois,-18.9
2026-06-16T07:13:00Z,D,HH-2,p.dubois,-24.3
2026-06-16T07:23:00Z,E,HH-2,p.dubois,-18.8
2026-06-16T07:27:00Z,A,HH-2,p.dubois,6.2
2026-06-16T09:34:00Z,A,HH-1,p.novak,2.6
2026-06-16T09:43:00Z,C,HH-1,p.novak,-19.7
2026-06-16T09:49:00Z,D,HH-1,p.novak,-27.2
2026-06-16T10:01:00Z,E,HH-1,p.novak,-16.7
2026-06-17T08:37:00Z,A,HH-1,p.novak,4.7
2026-06-17T08:50:00Z,C,HH-1,p.novak,-20.0
2026-06-17T08:54:00Z,E,HH-2,p.dubois,-14.9
2026-06-17T09:01:00Z,D,HH-1,p.novak,-23.4
2026-06-17T09:05:00Z,C,HH-2,p.dubois,-19.5
2026-06-17T09:06:00Z,E,HH-1,p.novak,-14.8
2026-06-17T09:09:00Z,A,HH-2,p.dubois,4.9
2026-06-18T09:02:00Z,E,HH-2,p.dubois,-15.9
2026-06-18T09:15:00Z,A,HH-2,p.dubois,3.9
2026-06-18T09:22:00Z,C,HH-2,p.dubois,-20.1
2026-06-18T09:39:00Z,A,HH-1,p.novak,2.6
2026-06-18T09:45:00Z,C,HH-1,p.novak,-20.4
2026-06-18T09:50:00Z,D,HH-1,p.novak,-29.7
2026-06-18T09:56:00Z,E,HH-1,p.novak,-14.6
