timestamp,panel,kwh_15min,panel_room_temp_c
2026-06-04T00:00:00Z,P1,1.951,12.6
2026-06-04T00:00:00Z,P2,1.686,12.6
2026-06-04T00:00:00Z,P3,2.092,12.6
2026-06-04T00:15:00Z,P1,1.912,12.5
2026-06-04T00:15:00Z,P2,1.728,12.5
2026-06-04T00:15:00Z,P3,2.105,12.5
2026-06-04T00:30:00Z,P1,1.602,12.4
2026-06-04T00:30:00Z,P2,1.706,12.4
2026-06-04T00:30:00Z,P3,2.108,12.4
2026-06-04T00:45:00Z,P1,1.780,12.6
2026-06-04T00:45:00Z,P2,1.965,12.6
2026-06-04T00:45:00Z,P3,2.079,12.6
2026-06-04T01:00:00Z,P1,1.894,12.3
2026-06-04T01:00:00Z,P2,2.083,12.3
2026-06-04T01:00:00Z,P3,2.146,12.3
2026-06-04T01:15:00Z,P1,0.362,12.7
2026-06-04T01:15:00Z,P2,1.603,12.7
2026-06-04T01:15:00Z,P3,2.119,12.7
2026-06-04T01:30:00Z,P1,0.336,12.3
2026-06-04T01:30:00Z,P2,1.654,12.3
2026-06-04T01:30:00Z,P3,1.172,12.3
2026-06-04T01:45:00Z,P1,1.846,11.8
2026-06-04T01:45:00Z,P2,1.533,11.8
2026-06-04T01:45:00Z,P3,0.365,11.8
2026-06-04T02:00:00Z,P1,1.541,12.7
2026-06-04T02:00:00Z,P2,1.950,12.7
2026-06-04T02:00:00Z,P3,0.339,12.7
2026-06-04T02:15:00Z,P1,1.593,12.2
2026-06-04T02:15:00Z,P2,1.539,12.2
2026-06-04T02:15:00Z,P3,0.312,12.2
2026-06-04T02:30:00Z,P1,2.960,12.0
2026-06-04T02:30:00Z,P2,1.696,12.0
2026-06-04T02:30:00Z,P3,0.341,12.0
2026-06-04T02:45:00Z,P1,0.428,12.5
2026-06-04T02:45:00Z,P2,1.768,12.5
2026-06-04T02:45:00Z,P3,0.383,12.5
2026-06-04T03:00:00Z,P1,0.346,12.4
2026-06-04T03:00:00Z,P2,2.437,12.4
2026-06-04T03:00:00Z,P3,0.331,12.4
2026-06-04T03:15:00Z,P1,1.349,12.4
2026-06-04T03:15:00Z,P2,1.075,12.4
2026-06-04T03:15:00Z,P3,0.367,12.4
2026-06-04T03:30:00Z,P1,1.444,12.5
2026-06-04T03:30:00Z,P2,1.705,12.5
2026-06-04T03:30:00Z,P3,0.312,12.5
2026-06-04T03:45:00Z,P1,1.663,13.1
2026-06-04T03:45:00Z,P2,1.667,13.1
2026-06-04T03:45:00Z,P3,0.399,13.1
2026-06-04T04:00:00Z,P1,2.018,13.0
2026-06-04T04:00:00Z,P2,2.518,13.0
2026-06-04T04:00:00Z,P3,0.331,13.0
2026-06-04T04:15:00Z,P1,2.520,13.1
2026-06-04T04:15:00Z,P2,1.610,13.1
2026-06-04T04:15:00Z,P3,0.361,13.1
2026-06-04T04:30:00Z,P1,0.337,12.9
2026-06-04T04:30:00Z,P2,1.664,12.9
2026-06-04T04:30:00Z,P3,0.343,12.9
2026-06-04T04:45:00Z,P1,0.354,13.3
2026-06-04T04:45:00Z,P2,1.737,13.3
2026-06-04T04:45:00Z,P3,0.369,13.3
2026-06-04T05:00:00Z,P1,1.639,13.1
2026-06-04T05:00:00Z,P2,1.677,13.1
2026-06-04T05:00:00Z,P3,0.392,13.1
2026-06-04T05:15:00Z,P1,0.803,13.0
2026-06-04T05:15:00Z,P2,2.004,13.0
2026-06-04T05:15:00Z,P3,0.310,13.0
2026-06-04T05:30:00Z,P1,1.101,13.4
2026-06-04T05:30:00Z,P2,1.714,13.4
2026-06-04T05:30:00Z,P3,0.351,13.4
2026-06-04T05:45:00Z,P1,2.866,13.5
2026-06-04T05:45:00Z,P2,2.069,13.5
2026-06-04T05:45:00Z,P3,0.366,13.5
2026-06-04T06:00:00Z,P1,2.321,14.1
2026-06-04T06:00:00Z,P2,4.282,14.1
2026-06-04T06:00:00Z,P3,1.711,14.1
2026-06-04T06:15:00Z,P1,2.493,14.1
2026-06-04T06:15:00Z,P2,2.621,14.1
2026-06-04T06:15:00Z,P3,2.089,14.1
2026-06-04T06:30:00Z,P1,2.050,14.4
2026-06-04T06:30:00Z,P2,1.723,14.4
2026-06-04T06:30:00Z,P3,2.054,14.4
2026-06-04T06:45:00Z,P1,2.264,14.4
2026-06-04T06:45:00Z,P2,2.998,14.4
2026-06-04T06:45:00Z,P3,2.099,14.4
2026-06-04T07:00:00Z,P1,3.230,14.7
2026-06-04T07:00:00Z,P2,3.297,14.7
2026-06-04T07:00:00Z,P3,2.115,14.7
2026-06-04T07:15:00Z,P1,3.198,14.6
2026-06-04T07:15:00Z,P2,2.837,14.6
2026-06-04T07:15:00Z,P3,2.053,14.6
2026-06-04T07:30:00Z,P1,3.250,15.2
2026-06-04T07:30:00Z,P2,3.847,15.2
2026-06-04T07:30:00Z,P3,2.128,15.2
2026-06-04T07:45:00Z,P1,1.532,15.2
2026-06-04T07:45:00Z,P2,3.846,15.2
2026-06-04T07:45:00Z,P3,1.136,15.2
2026-06-04T08:00:00Z,P1,0.345,15.3
2026-06-04T08:00:00Z,P2,1.708,15.3
2026-06-04T08:00:00Z,P3,0.335,15.3
2026-06-04T08:15:00Z,P1,0.656,15.5
2026-06-04T08:15:00Z,P2,1.749,15.5
2026-06-04T08:15:00Z,P3,0.366,15.5
2026-06-04T08:30:00Z,P1,2.309,15.9
2026-06-04T08:30:00Z,P2,2.717,15.9
2026-06-04T08:30:00Z,P3,0.379,15.9
2026-06-04T08:45:00Z,P1,2.585,16.1
2026-06-04T08:45:00Z,P2,3.829,16.1
2026-06-04T08:45:00Z,P3,0.376,16.1
2026-06-04T09:00:00Z,P1,1.978,16.0
2026-06-04T09:00:00Z,P2,3.248,16.0
2026-06-04T09:00:00Z,P3,0.332,16.0
2026-06-04T09:15:00Z,P1,3.207,16.1
2026-06-04T09:15:00Z,P2,3.531,16.1
2026-06-04T09:15:00Z,P3,1.033,16.1
2026-06-04T09:30:00Z,P1,1.955,16.6
2026-06-04T09:30:00Z,P2,3.840,16.6
2026-06-04T09:30:00Z,P3,2.075,16.6
2026-06-04T09:45:00Z,P1,2.285,16.7
2026-06-04T09:45:00Z,P2,3.848,16.7
2026-06-04T09:45:00Z,P3,2.153,16.7
2026-06-04T10:00:00Z,P1,3.185,16.8
2026-06-04T10:00:00Z,P2,3.830,16.8
2026-06-04T10:00:00Z,P3,3.852,16.8
2026-06-04T10:15:00Z,P1,2.860,17.1
2026-06-04T10:15:00Z,P2,3.863,17.1
2026-06-04T10:15:00Z,P3,4.168,17.1
2026-06-04T10:30:00Z,P1,1.611,17.0
2026-06-04T10:30:00Z,P2,3.852,17.0
2026-06-04T10:30:00Z,P3,4.110,17.0
2026-06-04T10:45:00Z,P1,2.159,17.2
2026-06-04T10:45:00Z,P2,3.873,17.2
2026-06-04T10:45:00Z,P3,4.141,17.2
2026-06-04T11:00:00Z,P1,2.997,17.6
2026-06-04T11:00:00Z,P2,3.647,17.6
2026-06-04T11:00:00Z,P3,4.100,17.6
2026-06-04T11:15:00Z,P1,1.578,17.2
2026-06-04T11:15:00Z,P2,1.685,17.2
2026-06-04T11:15:00Z,P3,3.735,17.2
2026-06-04T11:30:00Z,P1,2.345,17.9
2026-06-04T11:30:00Z,P2,1.760,17.9
2026-06-04T11:30:00Z,P3,2.140,17.9
2026-06-04T11:45:00Z,P1,2.760,18.2
2026-06-04T11:45:00Z,P2,1.971,18.2
2026-06-04T11:45:00Z,P3,2.122,18.2
2026-06-04T12:00:00Z,P1,0.340,18.2
2026-06-04T12:00:00Z,P2,3.677,18.2
2026-06-04T12:00:00Z,P3,2.101,18.2
2026-06-04T12:15:00Z,P1,0.749,18.1
2026-06-04T12:15:00Z,P2,1.410,18.1
2026-06-04T12:15:00Z,P3,2.099,18.1
2026-06-04T12:30:00Z,P1,1.918,17.8
2026-06-04T12:30:00Z,P2,0.601,17.8
2026-06-04T12:30:00Z,P3,2.098,17.8
2026-06-04T12:45:00Z,P1,0.412,18.3
2026-06-04T12:45:00Z,P2,1.673,18.3
2026-06-04T12:45:00Z,P3,2.063,18.3
2026-06-04T13:00:00Z,P1,2.048,18.1
2026-06-04T13:00:00Z,P2,3.309,18.1
2026-06-04T13:00:00Z,P3,2.157,18.1
2026-06-04T13:15:00Z,P1,3.083,18.4
2026-06-04T13:15:00Z,P2,2.401,18.4
2026-06-04T13:15:00Z,P3,2.069,18.4
2026-06-04T13:30:00Z,P1,1.611,18.5
2026-06-04T13:30:00Z,P2,0.424,18.5
2026-06-04T13:30:00Z,P3,2.111,18.5
2026-06-04T13:45:00Z,P1,1.674,18.5
2026-06-04T13:45:00Z,P2,1.717,18.5
2026-06-04T13:45:00Z,P3,2.125,18.5
2026-06-04T14:00:00Z,P1,1.510,18.5
2026-06-04T14:00:00Z,P2,3.704,18.5
2026-06-04T14:00:00Z,P3,2.082,18.5
2026-06-04T14:15:00Z,P1,0.337,18.5
2026-06-04T14:15:00Z,P2,2.456,18.5
2026-06-04T14:15:00Z,P3,2.097,18.5
2026-06-04T14:30:00Z,P1,0.866,18.5
2026-06-04T14:30:00Z,P2,0.728,18.5
2026-06-04T14:30:00Z,P3,2.113,18.5
2026-06-04T14:45:00Z,P1,3.165,18.2
2026-06-04T14:45:00Z,P2,2.145,18.2
2026-06-04T14:45:00Z,P3,2.091,18.2
2026-06-04T15:00:00Z,P1,2.850,18.7
2026-06-04T15:00:00Z,P2,4.207,18.7
2026-06-04T15:00:00Z,P3,3.642,18.7
2026-06-04T15:15:00Z,P1,3.198,18.2
2026-06-04T15:15:00Z,P2,4.412,18.2
2026-06-04T15:15:00Z,P3,4.115,18.2
2026-06-04T15:30:00Z,P1,2.905,18.1
2026-06-04T15:30:00Z,P2,2.322,18.1
2026-06-04T15:30:00Z,P3,4.201,18.1
2026-06-04T15:45:00Z,P1,1.957,17.6
2026-06-04T15:45:00Z,P2,1.777,17.6
2026-06-04T15:45:00Z,P3,4.211,17.6
2026-06-04T16:00:00Z,P1,2.192,17.6
2026-06-04T16:00:00Z,P2,1.869,17.6
2026-06-04T16:00:00Z,P3,4.084,17.6
2026-06-04T16:15:00Z,P1,3.230,18.2
2026-06-04T16:15:00Z,P2,3.925,18.2
2026-06-04T16:15:00Z,P3,4.023,18.2
2026-06-04T16:30:00Z,P1,3.233,17.4
2026-06-04T16:30:00Z,P2,2.876,17.4
2026-06-04T16:30:00Z,P3,3.985,17.4
2026-06-04T16:45:00Z,P1,3.162,17.9
2026-06-04T16:45:00Z,P2,1.679,17.9
2026-06-04T16:45:00Z,P3,4.165,17.9
2026-06-04T17:00:00Z,P1,1.991,17.3
2026-06-04T17:00:00Z,P2,1.824,17.3
2026-06-04T17:00:00Z,P3,4.133,17.3
2026-06-04T17:15:00Z,P1,1.971,17.1
2026-06-04T17:15:00Z,P2,3.886,17.1
2026-06-04T17:15:00Z,P3,4.112,17.1
2026-06-04T17:30:00Z,P1,1.944,17.0
2026-06-04T17:30:00Z,P2,2.800,17.0
2026-06-04T17:30:00Z,P3,4.153,17.0
2026-06-04T17:45:00Z,P1,2.281,17.0
2026-06-04T17:45:00Z,P2,1.696,17.0
2026-06-04T17:45:00Z,P3,4.095,17.0
2026-06-04T18:00:00Z,P1,2.589,17.0
2026-06-04T18:00:00Z,P2,1.637,17.0
2026-06-04T18:00:00Z,P3,4.088,17.0
2026-06-04T18:15:00Z,P1,2.211,16.9
2026-06-04T18:15:00Z,P2,3.799,16.9
2026-06-04T18:15:00Z,P3,4.192,16.9
2026-06-04T18:30:00Z,P1,3.264,16.7
