# export 2026-04-10T00:00:00Z from NVR-1; motion index per camera; retention 7 days (older footage overwritten)
timestamp,camera,motion_score
2026-04-03T00:01:00Z,CORR-D,6
2026-04-03T00:19:00Z,CORR-B,84
2026-04-03T00:21:00Z,CORR-E,11
2026-04-03T01:22:00Z,CORR-C,59
2026-04-03T02:18:00Z,CORR-F,7
2026-04-03T03:01:00Z,CORR-A,14
2026-04-03T04:01:00Z,CORR-C,13
2026-04-03T04:04:00Z,CORR-A,10
2026-04-03T04:37:00Z,CORR-A,9
2026-04-03T05:26:00Z,CORR-A,6
2026-04-03T06:31:00Z,CORR-D,10
2026-04-03T07:20:00Z,CORR-A,76
2026-04-03T07:24:00Z,CORR-E,12
2026-04-03T07:31:00Z,CORR-B,59
2026-04-03T07:37:00Z,CORR-D,36
2026-04-03T07:46:00Z,CORR-E,78
2026-04-03T08:00:00Z,CORR-B,6
2026-04-03T08:01:00Z,CORR-F,11
2026-04-03T08:06:00Z,CORR-F,50
2026-04-03T08:08:00Z,CORR-E,45
2026-04-03T08:09:00Z,CORR-B,86
2026-04-03T08:12:00Z,CORR-E,36
2026-04-03T08:12:00Z,CORR-F,83
2026-04-03T08:13:00Z,CORR-C,48
2026-04-03T08:14:00Z,CORR-A,80
2026-04-03T08:14:00Z,CORR-B,42
2026-04-03T08:15:00Z,CORR-F,59
2026-04-03T08:16:00Z,CORR-A,79
2026-04-03T08:17:00Z,CORR-C,83
2026-04-03T08:19:00Z,CORR-E,37
2026-04-03T08:22:00Z,CORR-D,72
2026-04-03T08:24:00Z,CORR-E,69
2026-04-03T08:26:00Z,CORR-D,40
2026-04-03T08:26:00Z,CORR-F,39
2026-04-03T08:28:00Z,CORR-E,46
2026-04-03T08:33:00Z,CORR-B,69
2026-04-03T08:33:00Z,CORR-E,84
2026-04-03T08:33:00Z,CORR-F,57
2026-04-03T08:34:00Z,CORR-C,67
2026-04-03T08:36:00Z,CORR-F,18
2026-04-03T09:37:00Z,CORR-A,65
2026-04-03T09:37:00Z,CORR-D,77
2026-04-03T09:40:00Z,CORR-D,47
2026-04-03T09:41:00Z,CORR-A,66
2026-04-03T09:41:00Z,CORR-E,63
2026-04-03T09:41:00Z,CORR-F,43
2026-04-03T09:45:00Z,CORR-D,77
2026-04-03T09:48:00Z,CORR-B,39
2026-04-03T09:48:00Z,CORR-F,88
2026-04-03T09:50:00Z,CORR-B,41
2026-04-03T10:21:00Z,CORR-D,70
2026-04-03T10:23:00Z,CORR-C,82
2026-04-03T10:23:00Z,CORR-F,35
2026-04-03T10:26:00Z,CORR-A,47
2026-04-03T10:28:00Z,CORR-F,56
2026-04-03T10:29:00Z,CORR-C,52
