device_timestamp,zone,handheld,operator,reading_c
2026-03-11T08:39:00Z,A,HH-1,j.nguyen,-27.4
2026-03-11T08:53:00Z,B,HH-1,j.nguyen,-17.1
2026-03-11T09:04:00Z,D,HH-1,j.nguyen,-23.5
2026-03-11T09:08:00Z,E,HH-1,j.nguyen,-21.3
2026-03-11T10:28:00Z,D,HH-2,h.lindqvist,-20.0
2026-03-11T10:34:00Z,E,HH-2,h.lindqvist,-19.7
2026-03-11T10:42:00Z,B,HH-2,h.lindqvist,-17.0
2026-03-12T08:47:00Z,D,HH-2,h.lindqvist,-23.0
2026-03-12T09:01:00Z,A,HH-2,h.lindqvist,-26.8
2026-03-12T09:11:00Z,B,HH-2,h.lindqvist,-15.6
2026-03-12T10:12:00Z,A,HH-1,j.nguyen,-27.6
2026-03-12T10:22:00Z,B,HH-1,j.nguyen,-18.1
2026-03-12T10:29:00Z,D,HH-1,j.nguyen,-23.9
2026-03-12T10:42:00Z,E,HH-1,j.nguyen,-21.2
2026-03-13T08:05:00Z,A,HH-2,h.lindqvist,-24.4
2026-03-13T08:17:00Z,B,HH-2,h.lindqvist,-16.6
2026-03-13T08:30:00Z,E,HH-2,h.lindqvist,-16.6
2026-03-13T10:26:00Z,A,HH-1,j.nguyen,-27.6
2026-03-13T10:31:00Z,B,HH-1,j.nguyen,-18.0
2026-03-13T10:42:00Z,D,HH-1,j.nguyen,-23.8
2026-03-13T10:55:00Z,E,HH-1,j.nguyen,-21.1
2026-03-16T07:12:00Z,B,HH-2,h.lindqvist,-16.2
2026-03-16T07:21:00Z,D,HH-2,h.lindqvist,-22.6
2026-03-16T07:26:00Z,E,HH-2,h.lindqvist,-20.0
2026-03-16T08:24:00Z,A,HH-1,j.nguyen,-25.0
2026-03-16T08:29:00Z,B,HH-1,j.nguyen,-13.7
2026-03-16T08:42:00Z,D,HH-1,j.nguyen,-19.9
2026-03-16T08:48:00Z,E,HH-1,j.nguyen,-21.6
2026-03-17T07:32:00Z,D,HH-2,h.lindqvist,-18.8
2026-03-17T07:36:00Z,A,HH-2,h.lindqvist,-26.6
2026-03-17T07:41:00Z,E,HH-2,h.lindqvist,-18.9
2026-03-17T08:38:00Z,A,HH-1,j.nguyen,-27.3
2026-03-17T08:50:00Z,B,HH-1,j.nguyen,-17.8
2026-03-17T08:55:00Z,D,HH-1,j.nguyen,-23.9
2026-03-17T09:07:00Z,E,HH-1,j.nguyen,-20.5
2026-03-18T08:13:00Z,A,HH-1,j.nguyen,-27.1
2026-03-18T08:22:00Z,B,HH-1,j.nguyen,-17.6
2026-03-18T08:24:00Z,E,HH-2,h.lindqvist,-20.7
2026-03-18T08:29:00Z,D,HH-1,j.nguyen,-22.7
2026-03-18T08:34:00Z,A,HH-2,h.lindqvist,-26.3
2026-03-18T08:35:00Z,E,HH-1,j.nguyen,-21.7
2026-03-18T08:42:00Z,D,HH-2,h.lindqvist,-22.0
2026-03-19T08:18:00Z,E,HH-2,h.lindqvist,-20.4
2026-03-19T08:24:00Z,B,HH-2,h.lindqvist,-17.0
2026-03-19T08:30:00Z,A,HH-2,h.lindqvist,-26.5
2026-03-19T09:11:00Z,A,HH-1,j.nguyen,-27.9
2026-03-19T09:18:00Z,B,HH-1,j.nguyen,-16.3
2026-03-19T09:23:00Z,D,HH-1,j.nguyen,-23.3
2026-03-19T09:32:00Z,E,HH-1,j.nguyen,-21.3
2026-03-20T08:56:00Z,D,HH-2,h.lindqvist,-23.1
2026-03-20T09:03:00Z,A,HH-2,h.lindqvist,-26.0
2026-03-20T09:16:00Z,B,HH-2,h.lindqvist,-13.5
2026-03-20T09:31:00Z,A,HH-1,j.nguyen,-27.0
2026-03-20T09:39:00Z,B,HH-1,j.nguyen,-15.3
2026-03-20T09:47:00Z,D,HH-1,j.nguyen,-23.9
2026-03-20T09:52:00Z,E,HH-1,j.nguyen,-20.7
2026-03-23T09:15:00Z,A,HH-1,j.nguyen,-27.7
2026-03-23T09:27:00Z,B,HH-1,j.nguyen,-13.5
2026-03-23T09:41:00Z,D,HH-1,j.nguyen,-23.6
2026-03-23T09:45:00Z,E,HH-1,j.nguyen,-20.8
2026-03-23T09:53:00Z,D,HH-2,h.lindqvist,-23.3
2026-03-23T10:07:00Z,E,HH-2,h.lindqvist,-20.6
2026-03-23T10:11:00Z,A,HH-2,h.lindqvist,-26.5
2026-03-24T10:40:00Z,A,HH-2,h.lindqvist,-26.1
2026-03-24T10:50:00Z,E,HH-2,h.lindqvist,-20.4
2026-03-24T10:51:00Z,A,HH-1,j.nguyen,-27.5
2026-03-24T10:55:00Z,B,HH-2,h.lindqvist,-16.8
2026-03-24T11:01:00Z,B,HH-1,j.nguyen,-17.5
2026-03-24T11:13:00Z,D,HH-1,j.nguyen,-25.1
2026-03-24T11:21:00Z,E,HH-1,j.nguyen,-20.9
2026-03-25T10:30:00Z,A,HH-1,j.nguyen,-26.4
2026-03-25T10:38:00Z,B,HH-1,j.nguyen,-16.5
2026-03-25T10:44:00Z,D,HH-1,j.nguyen,-25.0
2026-03-25T10:55:00Z,E,HH-1,j.nguyen,-19.1
2026-03-25T11:45:00Z,D,HH-2,h.lindqvist,-21.2
2026-03-25T11:54:00Z,B,HH-2,h.lindqvist,-16.9
2026-03-25T12:02:00Z,E,HH-2,h.lindqvist,-19.0
2026-03-26T08:19:00Z,B,HH-2,h.lindqvist,-13.3
2026-03-26T08:25:00Z,D,HH-2,h.lindqvist,-22.7
2026-03-26T08:39:00Z,A,HH-2,h.lindqvist,-26.4
2026-03-26T10:00:00Z,A,HH-1,j.nguyen,-27.5
2026-03-26T10:12:00Z,B,HH-1,j.nguyen,-17.5
2026-03-26T10:18:00Z,D,HH-1,j.nguyen,-26.0
2026-03-26T10:29:00Z,E,HH-1,j.nguyen,-19.6
2026-03-27T07:53:00Z,A,HH-1,j.nguyen,-22.0
2026-03-27T08:05:00Z,B,HH-1,j.nguyen,-17.6
2026-03-27T08:18:00Z,D,HH-1,j.nguyen,-24.8
2026-03-27T08:30:00Z,E,HH-1,j.nguyen,-20.8
2026-03-27T11:51:00Z,A,HH-2,h.lindqvist,-27.1
2026-03-27T11:59:00Z,D,HH-2,h.lindqvist,-24.9
2026-03-27T12:12:00Z,B,HH-2,h.lindqvist,-16.2
2026-03-30T10:52:00Z,A,HH-1,j.nguyen,-27.8
2026-03-30T11:01:00Z,B,HH-1,j.nguyen,-17.0
2026-03-30T11:06:00Z,D,HH-1,j.nguyen,-26.7
2026-03-30T11:18:00Z,E,HH-1,j.nguyen,-21.0
2026-03-30T11:36:00Z,E,HH-2,h.lindqvist,-20.2
2026-03-30T11:44:00Z,A,HH-2,h.lindqvist,-26.0
2026-03-30T11:50:00Z,B,HH-2,h.lindqvist,-15.1
2026-03-31T07:08:00Z,A,HH-1,j.nguyen,-24.7
2026-03-31T07:18:00Z,B,HH-1,j.nguyen,-16.4
2026-03-31T07:31:00Z,D,HH-1,j.nguyen,-21.3
2026-03-31T07:42:00Z,E,HH-1,j.nguyen,-16.3
2026-03-31T10:17:00Z,A,HH-2,h.lindqvist,-25.6
2026-03-31T10:24:00Z,E,HH-2,h.lindqvist,-20.3
2026-03-31T10:33:00Z,D,HH-2,h.lindqvist,-24.9
2026-04-01T10:37:00Z,A,HH-1,j.nguyen,-27.0
2026-04-01T10:50:00Z,B,HH-1,j.nguyen,-17.2
2026-04-01T10:54:00Z,D,HH-1,j.nguyen,-26.7
2026-04-01T11:06:00Z,E,HH-1,j.nguyen,-20.9
2026-04-01T11:51:00Z,A,HH-2,h.lindqvist,-25.7
2026-04-01T12:05:00Z,B,HH-2,h.lindqvist,-16.8
2026-04-01T12:09:00Z,D,HH-2,h.lindqvist,-25.8
2026-04-02T08:17:00Z,A,HH-1,j.nguyen,-27.6
2026-04-02T08:31:00Z,B,HH-1,j.nguyen,-17.8
2026-04-02T08:40:00Z,D,HH-1,j.nguyen,-26.5
2026-04-02T08:50:00Z,E,HH-1,j.nguyen,-20.0
2026-04-02T09:52:00Z,E,HH-2,h.lindqvist,-19.7
2026-04-02T10:01:00Z,B,HH-2,h.lindqvist,-17.1
2026-04-02T10:05:00Z,D,HH-2,h.lindqvist,-25.5
2026-04-03T07:12:00Z,A,HH-1,j.nguyen,-27.2
2026-04-03T07:24:00Z,B,HH-1,j.nguyen,-17.3
2026-04-03T07:30:00Z,D,HH-1,j.nguyen,-26.8
2026-04-03T07:39:00Z,E,HH-1,j.nguyen,-21.5
2026-04-03T10:52:00Z,D,HH-2,h.lindqvist,-26.1
2026-04-03T11:00:00Z,B,HH-2,h.lindqvist,-17.1
2026-04-03T11:10:00Z,A,HH-2,h.lindqvist,-26.1
2026-04-06T10:20:00Z,A,HH-2,h.lindqvist,-26.3
2026-04-06T10:21:00Z,A,HH-1,j.nguyen,-26.9
2026-04-06T10:27:00Z,B,HH-2,h.lindqvist,-15.3
2026-04-06T10:28:00Z,B,HH-1,j.nguyen,-16.4
2026-04-06T10:34:00Z,D,HH-1,j.nguyen,-23.7
2026-04-06T10:37:00Z,E,HH-2,h.lindqvist,-20.0
2026-04-06T10:44:00Z,E,HH-1,j.nguyen,-21.1
2026-04-07T10:15:00Z,A,HH-1,j.nguyen,-27.2
2026-04-07T10:19:00Z,B,HH-1,j.nguyen,-16.3
2026-04-07T10:23:00Z,D,HH-1,j.nguyen,-24.2
2026-04-07T10:37:00Z,E,HH-1,j.nguyen,-14.8
2026-04-07T10:56:00Z,E,HH-2,h.lindqvist,-14.5
2026-04-07T11:01:00Z,B,HH-2,h.lindqvist,-15.7
2026-04-07T11:07:00Z,A,HH-2,h.lindqvist,-23.1
2026-04-08T10:14:00Z,E,HH-2,h.lindqvist,-17.5
2026-04-08T10:15:00Z,A,HH-1,j.nguyen,-25.1
2026-04-08T10:24:00Z,D,HH-2,h.lindqvist,-22.9
2026-04-08T10:29:00Z,B,HH-1,j.nguyen,-16.9
2026-04-08T10:35:00Z,A,HH-2,h.lindqvist,-25.8
2026-04-08T10:38:00Z,D,HH-1,j.nguyen,-23.9
2026-04-08T10:51:00Z,E,HH-1,j.nguyen,-20.1
2026-04-09T09:57:00Z,D,HH-2,h.lindqvist,-22.5
2026-04-09T10:05:00Z,B,HH-2,h.lindqvist,-15.3
2026-04-09T10:09:00Z,A,HH-1,j.nguyen,-27.6
2026-04-09T10:11:00Z,A,HH-2,h.lindqvist,-26.0
2026-04-09T10:22:00Z,B,HH-1,j.nguyen,-16.9
2026-04-09T10:30:00Z,D,HH-1,j.nguyen,-23.4
2026-04-09T10:39:00Z,E,HH-1,j.nguyen,-20.7
