timestamp,panel,kwh_15min,panel_room_temp_c
2026-03-11T00:00:00Z,P1,0.368,14.1
2026-03-11T00:00:00Z,P2,2.475,14.1
2026-03-11T00:00:00Z,P3,0.314,14.1
2026-03-11T00:15:00Z,P1,2.762,14.4
2026-03-11T00:15:00Z,P2,2.468,14.4
2026-03-11T00:15:00Z,P3,0.296,14.4
2026-03-11T00:30:00Z,P1,1.841,14.5
2026-03-11T00:30:00Z,P2,2.425,14.5
2026-03-11T00:30:00Z,P3,0.277,14.5
2026-03-11T00:45:00Z,P1,1.753,14.3
2026-03-11T00:45:00Z,P2,2.455,14.3
2026-03-11T00:45:00Z,P3,1.657,14.3
2026-03-11T01:00:00Z,P1,2.139,13.9
2026-03-11T01:00:00Z,P2,2.031,13.9
2026-03-11T01:00:00Z,P3,0.346,13.9
2026-03-11T01:15:00Z,P1,2.716,14.4
2026-03-11T01:15:00Z,P2,0.362,14.4
2026-03-11T01:15:00Z,P3,1.607,14.4
2026-03-11T01:30:00Z,P1,1.179,14.2
2026-03-11T01:30:00Z,P2,0.367,14.2
2026-03-11T01:30:00Z,P3,3.306,14.2
2026-03-11T01:45:00Z,P1,1.950,14.0
2026-03-11T01:45:00Z,P2,0.348,14.0
2026-03-11T01:45:00Z,P3,1.799,14.0
2026-03-11T02:00:00Z,P1,3.487,14.0
2026-03-11T02:00:00Z,P2,0.351,14.0
2026-03-11T02:00:00Z,P3,1.766,14.0
2026-03-11T02:15:00Z,P1,0.598,14.0
2026-03-11T02:15:00Z,P2,0.356,14.0
2026-03-11T02:15:00Z,P3,1.783,14.0
2026-03-11T02:30:00Z,P1,2.229,13.6
2026-03-11T02:30:00Z,P2,0.364,13.6
2026-03-11T02:30:00Z,P3,0.401,13.6
2026-03-11T02:45:00Z,P1,2.596,14.1
2026-03-11T02:45:00Z,P2,0.375,14.1
2026-03-11T02:45:00Z,P3,0.436,14.1
2026-03-11T03:00:00Z,P1,1.721,14.3
2026-03-11T03:00:00Z,P2,0.343,14.3
2026-03-11T03:00:00Z,P3,1.571,14.3
2026-03-11T03:15:00Z,P1,1.885,14.1
2026-03-11T03:15:00Z,P2,0.292,14.1
2026-03-11T03:15:00Z,P3,0.338,14.1
2026-03-11T03:30:00Z,P1,2.578,14.2
2026-03-11T03:30:00Z,P2,0.401,14.2
2026-03-11T03:30:00Z,P3,1.934,14.2
2026-03-11T03:45:00Z,P1,1.871,14.1
2026-03-11T03:45:00Z,P2,0.371,14.1
2026-03-11T03:45:00Z,P3,2.974,14.1
2026-03-11T04:00:00Z,P1,1.171,14.4
2026-03-11T04:00:00Z,P2,0.330,14.4
2026-03-11T04:00:00Z,P3,1.796,14.4
2026-03-11T04:15:00Z,P1,3.195,14.2
2026-03-11T04:15:00Z,P2,0.344,14.2
2026-03-11T04:15:00Z,P3,2.073,14.2
2026-03-11T04:30:00Z,P1,2.536,14.4
2026-03-11T04:30:00Z,P2,0.338,14.4
2026-03-11T04:30:00Z,P3,1.337,14.4
2026-03-11T04:45:00Z,P1,0.606,14.5
2026-03-11T04:45:00Z,P2,0.385,14.5
2026-03-11T04:45:00Z,P3,0.340,14.5
2026-03-11T05:00:00Z,P1,3.167,14.3
2026-03-11T05:00:00Z,P2,0.354,14.3
2026-03-11T05:00:00Z,P3,0.628,14.3
2026-03-11T05:15:00Z,P1,1.953,14.4
2026-03-11T05:15:00Z,P2,0.374,14.4
2026-03-11T05:15:00Z,P3,1.593,14.4
2026-03-11T05:30:00Z,P1,1.419,14.9
2026-03-11T05:30:00Z,P2,0.387,14.9
2026-03-11T05:30:00Z,P3,1.444,14.9
2026-03-11T05:45:00Z,P1,1.755,14.5
2026-03-11T05:45:00Z,P2,0.341,14.5
2026-03-11T05:45:00Z,P3,2.143,14.5
2026-03-11T06:00:00Z,P1,2.750,15.0
2026-03-11T06:00:00Z,P2,0.348,15.0
2026-03-11T06:00:00Z,P3,2.714,15.0
2026-03-11T06:15:00Z,P1,2.145,15.1
2026-03-11T06:15:00Z,P2,0.354,15.1
2026-03-11T06:15:00Z,P3,1.518,15.1
2026-03-11T06:30:00Z,P1,0.596,15.6
2026-03-11T06:30:00Z,P2,0.361,15.6
2026-03-11T06:30:00Z,P3,0.903,15.6
2026-03-11T06:45:00Z,P1,3.325,15.4
2026-03-11T06:45:00Z,P2,0.684,15.4
2026-03-11T06:45:00Z,P3,1.466,15.4
2026-03-11T07:00:00Z,P1,3.558,15.7
2026-03-11T07:00:00Z,P2,2.879,15.7
2026-03-11T07:00:00Z,P3,1.753,15.7
2026-03-11T07:15:00Z,P1,4.219,15.5
2026-03-11T07:15:00Z,P2,4.642,15.5
2026-03-11T07:15:00Z,P3,0.897,15.5
2026-03-11T07:30:00Z,P1,2.923,15.9
2026-03-11T07:30:00Z,P2,4.688,15.9
2026-03-11T07:30:00Z,P3,1.128,15.9
2026-03-11T07:45:00Z,P1,3.402,15.9
2026-03-11T07:45:00Z,P2,2.672,15.9
2026-03-11T07:45:00Z,P3,2.613,15.9
2026-03-11T08:00:00Z,P1,2.402,15.9
2026-03-11T08:00:00Z,P2,2.562,15.9
2026-03-11T08:00:00Z,P3,2.555,15.9
2026-03-11T08:15:00Z,P1,3.776,15.9
2026-03-11T08:15:00Z,P2,2.576,15.9
2026-03-11T08:15:00Z,P3,1.780,15.9
2026-03-11T08:30:00Z,P1,2.689,15.9
2026-03-11T08:30:00Z,P2,1.059,15.9
